"annee_mois";"produit";"n"
"2019 01";"Médicament à usage humain";1
"2019 02";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";1
"2019 02";"Médicament à usage humain";4
"2019 03";"Dispositif médical de diagnostic in vitro";1
"2019 03";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";1
"2019 03";"Médicament à usage humain";18
"2019 04";"Dispositif médical";9
"2019 04";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";5
"2019 04";"Médicament à usage humain";42
"2019 05";"Dispositif médical";5
"2019 05";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";13
"2019 05";"Médicament à usage humain";50
"2019 05";"Organe, Tissus, Cellule";2
"2019 05";"Thérapie cellulaire";2
"2019 05";"Thérapie génique";1
"2019 06";"Dispositif médical";3
"2019 06";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";11
"2019 06";"Médicament à usage humain";49
"2019 06";"Organe, Tissus, Cellule";2
"2019 06";"Thérapie génique";1
"2019 07";"Dispositif médical";7
"2019 07";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";17
"2019 07";"Médicament à usage humain";75
"2019 07";"Organe, Tissus, Cellule";2
"2019 07";"Thérapie cellulaire";1
"2019 07";"Thérapie génique";1
"2019 08";"Dispositif médical";4
"2019 08";"Dispositif médical de diagnostic in vitro";1
"2019 08";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";6
"2019 08";"Médicament à usage humain";40
"2019 09";"Dispositif médical";4
"2019 09";"Dispositif médical de diagnostic in vitro";2
"2019 09";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";16
"2019 09";"Médicament à usage humain";49
"2019 09";"Thérapie génique";2
"2019 10";"Dispositif médical";11
"2019 10";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";19
"2019 10";"Médicament à usage humain";66
"2019 10";"Organe, Tissus, Cellule";1
"2019 10";"Thérapie cellulaire";1
"2019 10";"Thérapie génique";3
"2019 11";"Dispositif médical";6
